wkey_count            tot_cap                         n_name            
    24                 169344                     UNITED STATES         
    21                 144900                         CHINA             
    21                 142569                       MOZAMBIQUE          
    18                 116262                         EGYPT             
    18                 117612                         KENYA             
    18                 120258                        VIETNAM            
    15                 97560                         GERMANY            
    15                 96390                          INDIA             
    15                 101655                       INDONESIA           
    15                 99765                         ROMANIA            
    15                 99315                          RUSSIA            
    12                 78156                          JAPAN             
    12                 77004                           PERU             
    9                  57510                         ALGERIA            
    9                  56835                        ARGENTINA           
    9                  54999                          CANADA            
    9                  57078                         ETHIOPIA           
    9                  54675                      UNITED KINGDOM        
    6                  37512                          BRAZIL            
    6                  36180                          FRANCE            
    6                  37188                           IRAN             
    6                  37728                           IRAQ             
    6                  40500                         MOROCCO            
    3                  16254                          JORDAN            
    3                  18405                       SAUDI ARABIA         
