part_type|min_disc|max_disc
ECONOMY ANODIZED BRASS|0|0.1
ECONOMY ANODIZED COPPER|0|0.1
ECONOMY ANODIZED NICKEL|0|0.1
ECONOMY ANODIZED STEEL|0|0.1
ECONOMY ANODIZED TIN|0|0.1
ECONOMY BRUSHED BRASS|0|0.1
ECONOMY BRUSHED COPPER|0|0.1
ECONOMY BRUSHED NICKEL|0|0.1
ECONOMY BRUSHED STEEL|0|0.1
ECONOMY BRUSHED TIN|0|0.1
ECONOMY BURNISHED BRASS|0|0.1
ECONOMY BURNISHED COPPER|0|0.1
ECONOMY BURNISHED NICKEL|0|0.1
ECONOMY BURNISHED STEEL|0|0.1
ECONOMY BURNISHED TIN|0|0.1
ECONOMY PLATED BRASS|0|0.1
ECONOMY PLATED COPPER|0|0.1
ECONOMY PLATED NICKEL|0|0.1
ECONOMY PLATED STEEL|0|0.1
ECONOMY PLATED TIN|0|0.1
ECONOMY POLISHED BRASS|0|0.1
ECONOMY POLISHED COPPER|0|0.1
ECONOMY POLISHED NICKEL|0|0.1
ECONOMY POLISHED STEEL|0|0.1
ECONOMY POLISHED TIN|0|0.1
LARGE ANODIZED COPPER|0|0.1
LARGE BRUSHED COPPER|0|0.1
LARGE BURNISHED COPPER|0|0.1
LARGE PLATED COPPER|0|0.1
LARGE POLISHED COPPER|0|0.1
MEDIUM ANODIZED COPPER|0|0.1
MEDIUM BRUSHED COPPER|0|0.1
MEDIUM BURNISHED COPPER|0|0.1
MEDIUM PLATED COPPER|0|0.1
MEDIUM POLISHED COPPER|0|0.1
PROMO ANODIZED COPPER|0|0.1
PROMO BRUSHED COPPER|0|0.1
PROMO BURNISHED COPPER|0|0.1
PROMO PLATED COPPER|0|0.1
PROMO POLISHED COPPER|0|0.1
SMALL ANODIZED COPPER|0|0.1
SMALL BRUSHED COPPER|0|0.1
SMALL BURNISHED COPPER|0|0.1
SMALL PLATED COPPER|0|0.1
SMALL POLISHED COPPER|0|0.1
STANDARD ANODIZED COPPER|0|0.1
STANDARD BRUSHED COPPER|0|0.1
STANDARD BURNISHED COPPER|0|0.1
STANDARD PLATED COPPER|0|0.1
STANDARD POLISHED COPPER|0|0.1
