customer|cnt
Customer#000000004|4
Customer#000000074|4
Customer#000000128|2
Customer#000000140|2
Customer#000000164|4
Customer#000000187|3
Customer#000000199|3
Customer#000000218|2
Customer#000000262|2
Customer#000000287|2
Customer#000000290|1
Customer#000000302|1
Customer#000000334|3
Customer#000000437|1
Customer#000000449|1
Customer#000000500|1
Customer#000000548|1
Customer#000000553|1
Customer#000000565|2
Customer#000000599|1
Customer#000000613|3
Customer#000000661|3
Customer#000000673|4
Customer#000000697|3
Customer#000000820|6
Customer#000000881|5
Customer#000000890|1
Customer#000000944|1
Customer#000000959|1
Customer#000000962|3
Customer#000001012|3
Customer#000001061|1
Customer#000001072|5
Customer#000001096|2
Customer#000001169|1
Customer#000001174|5
Customer#000001175|1
Customer#000001195|2
Customer#000001214|1
Customer#000001219|3
Customer#000001240|1
Customer#000001246|4
Customer#000001339|1
