customer|total_price
Customer#000000014|413060.57999999996
Customer#000000059|258711.34
Customer#000000106|143299.97
Customer#000000197|254306.44
Customer#000000203|218863.78
Customer#000000229|800283.78
Customer#000000254|363819.37
Customer#000000260|100151.2
Customer#000000263|279755.22
Customer#000000310|110531.61
Customer#000000347|72397.5
Customer#000000442|749969.85
Customer#000000478|198253.72
Customer#000000526|735620.79
Customer#000000556|730755.19
Customer#000000575|78537.32
Customer#000000601|76247.97
Customer#000000616|108265.84999999999
Customer#000000647|163302.78
Customer#000000658|534630.09
Customer#000000736|429717.9
Customer#000000763|10243.64
Customer#000000887|112264.2
Customer#000000917|173943.5
Customer#000000971|294534.22
Customer#000000980|140854.8
Customer#000000986|15004.67
Customer#000001099|226633.26
Customer#000001124|100351.39
Customer#000001144|715068.0800000001
Customer#000001183|178845.27
Customer#000001234|249267.51
Customer#000001253|209054.93
Customer#000001330|441953.02
Customer#000001351|349182.52
Customer#000001417|129501.87
Customer#000001492|1335308.03
