supplier|priority|parts
Supplier#000000023|1-URGENT|61
Supplier#000000023|2-HIGH|61
Supplier#000000023|3-MEDIUM|61
Supplier#000000023|4-NOT SPECIFIED|66
Supplier#000000023|5-LOW|63
Supplier#000000045|1-URGENT|55
Supplier#000000045|2-HIGH|56
Supplier#000000045|3-MEDIUM|66
Supplier#000000045|4-NOT SPECIFIED|58
Supplier#000000045|5-LOW|59
Supplier#000000050|1-URGENT|60
Supplier#000000050|2-HIGH|57
Supplier#000000050|3-MEDIUM|59
Supplier#000000050|4-NOT SPECIFIED|60
Supplier#000000050|5-LOW|58
Supplier#000000051|1-URGENT|59
Supplier#000000051|2-HIGH|70
Supplier#000000051|3-MEDIUM|62
Supplier#000000051|4-NOT SPECIFIED|66
Supplier#000000051|5-LOW|59
Supplier#000000089|1-URGENT|62
Supplier#000000089|2-HIGH|58
Supplier#000000089|3-MEDIUM|64
Supplier#000000089|4-NOT SPECIFIED|58
Supplier#000000089|5-LOW|68
