region,generation,name,population,description
Kanto,1,Pallet Town,10,A fairly new and quiet town. It's a small and pretty place.
Kanto,1,Viridian City,34,A beautiful city that is enveloped in green year-round.
Kanto,1,Pewter City,30,A quiet city nestled between rugged mountains and rocks.
Kanto,1,Cerulean City,33,A beautiful city with flowing water and blooming flowers.
Kanto,1,Vermilion City,34,A southern city that is bathed in orange by the setting sun.
Kanto,1,Lavender Town,30,A small town covered in a beautiful hue of purple.
Kanto,1,Celadon City,68,"A rich, rainbow colored city where people and Pokémon gather."
Kanto,1,Fuchsia City,36,A historic village that has become new.
Kanto,1,Saffron City,47,"The biggest city in Kanto, shining with a golden light."
Kanto,1,Cinnabar Island,36,A town used to be here until it was swept away by an eruption.
Johto,2,New Bark Town,11,A town where the wind blows and tells of impending change.
Johto,2,Cherrygrove City,22,A city where you can smell small flowers and a sea breeze.
Johto,2,Violet City,52,This old village is still surrounded by trees and other scenery. Sprout Tower is located here; it is a tower where they study diligently to learn to live with Pokémon.
Johto,2,Azalea Town,31,"A town where people and Pokémon live together in simple harmony. Slowpoke Well is located here; when Slowpoke are thirsty, they come here to drink."
Johto,2,Goldenrod City,126,A developing city where people and Pokémon come and go as they like.
Johto,2,Ecruteak City,46,"A city that even now bears the marks of its history. Located here are Bell Tower, a tower that's said to have a Legendary Pokémon that lands there, and Burned Tower, a tower that was hit by lightning, and subsequently caught fire and burned."
Johto,2,Olivine City,47,A city where you can hear the melody of the sea. Glitter Lighthouse is located here; it shines brightly over the ocean with the power of Ampharos.
Johto,2,Cianwood City,27,A beachside city that has benefitted greatly from the sea.
Johto,2,Mahogany Town,26,A town with a suspicious air to it. It's a hiding place for ninjas.
Johto,2,Blackthorn City,40,A mysterious mountain village cut into a rock face. Dragon's Den is located here.
Johto,2,Battle Tower,,Take the Ultimate Trainer Challenge!
Johto,2,Safari Zone Gate,13,A place where you can experience wild thrills safely.
Johto,2,Frontier Access,11,A place where people from all over come to show off their strength.
Hoenn,3,Littleroot Town,10,"Basking amid vibrant nature, this simple town is not shaded with any one hue."
Hoenn,3,Oldale Town,14,"A town where the contrast between colorful flowers and deep, verdant forests is most beautiful."
Hoenn,3,Petalburg City,26,"A whiff of salt is always in the air in this city, which is skirted by the ocean shore."
Hoenn,3,Rustboro City,63,"This city is the main hub of industry in the Hoenn region, with the Devon Corporation as its beating heart."
